Id,Bairro
0,Adhemar Garcia
1,América
2,Anita Garibaldi
3,Atiradores
4,Aventureiro
5,Boa Vista
6,Boehmerwaldt
7,Bom Retiro
8,Bucarein
9,Centro
10,Comasa
11,Costa e Silva
12,Cubatão
13,Distrito Industrial
14,Espinheiros
15,Floresta
16,Fátima
17,Glória
18,Guanabara
19,Iririú
20,Itaum
21,Itinga
22,Jardim Edilene
23,Jardim Iririú
24,Jardim Paraíso
25,Jardim Sofia
26,Jarivatuba
27,João Costa
28,Morro Do Meio
29,Nova Brasília
30,Paranaguamirim
31,Parque Guarani
32,Petrópolis
33,Pirabeiraba
34,Profipo
35,Rio Bonito
36,Rio da Prata
37,Saguaçu
38,Santa Catarina
39,Santo Antnio
40,São Marcos
41,Ulisses Guimarães
42,Vila Nova
