Bairro,Nome_Unidade,Cnes
Adhemar Garcia,UBSF Ulysses Guimaraes,9075712
América,UBSF Gloria,2511711
Anita Garibaldi,UBSF Itaum,2511479
Anita Garibaldi,UBSF Gloria,2511711
Atiradores,UBSF Gloria,2511711
Aventureiro,UBSF Aventureiro I,2511487
Aventureiro,UBSF Aventureiro III,9538461
Boa Vista,UBSF Caic Vila Paranaense,2511851
Boehmerwaldt,UBSF Boehmerwald,2511541
Bom Retiro,UBSF Bom Retiro,2511320
Bucarein,UBSF Itaum,2511479
Bucarein,UBSF Gloria,2511711
Centro,UBSF Gloria,2511711
Comasa,UBSF Caic Vila Paranaense,2511851
Costa e Silva,UBSF Willy Schossland,2511959
Costa e Silva,UBSF Parque Douat,7704550
Cubatão,UBSF Cubatao,2436434
Distrito Industrial,UBSF Jardim Sofia,2511835
Distrito Industrial,UBSF Cubatao,2436434
Distrito Industrial,UBSF Aventureiro III,9538461
Distrito Industrial,UBSF Bom Retiro,2511320
Espinheiros,UBSF Caic Vila Paranaense,2511851
Floresta,UBSF Nova Brasilia,2511304
Fátima,UBSF Ulysses Guimaraes,9075712
Fátima,UBSF Paranaguamirim,2511576
Glória,UBSF Gloria,2511711
Glória,UBSF Willy Schossland,2511959
Guanabara,UBSF Itaum,2511479
Iririú,UBSF Aventureiro I,2511487
Itaum,UBSF Itaum,2511479
Itinga,UBSF Parque Guarani,2511819
Itinga,UBSF Estevao De Matos,2511746
Itinga,UBSF Paranaguamirim,2511576
Itinga,UBSF Itinga,2511509
Itinga,UBSF Profipo,2511363
Itinga,UBSF Boehmerwald,2511541
Jardim Edilene,UBSF Jardim Edilene,3062724
Jardim Iririú,UBSF Aventureiro I,2511487
Jardim Paraíso,UBSF Jardim Paraiso III,2512009
Jardim Sofia,UBSF Jardim Sofia,2511835
Jardim Sofia,UBSF Bom Retiro,2511320
Jarivatuba,UBSF Ulysses Guimaraes,9075712
Jarivatuba,UBSF Paranaguamirim,2511576
João Costa,UBSF Boehmerwald,2511541
João Costa,UBSF Parque Guarani,2511819
Morro Do Meio,UBSF Morro Do Meio,2511495
Nova Brasília,UBSF Nova Brasilia,2511304
Nova Brasília,UBSF Km 4,2511371
Paranaguamirim,UBSF Paranaguamirim,2511576
Paranaguamirim,UBSF Estevao De Matos,2511746
Paranaguamirim,UBSF Jardim Edilene,3062724
Parque Guarani,UBSF Boehmerwald,2511541
Parque Guarani,UBSF Paranaguamirim,2511576
Parque Guarani,UBSF Parque Guarani,2511819
Petrópolis,UBSF Boehmerwald,2511541
Pirabeiraba,UBSF Rio Bonito,2511282
Pirabeiraba,UBSF Rio Da Prata,2511274
Pirabeiraba,UBSF Jardim Sofia,2511835
Pirabeiraba,UBSF Jardim Paraiso III,2512009
Profipo,UBSF Profipo,2511363
Profipo,UBSF Itinga,2511509
Rio Bonito,UBSF Rio Bonito,2511282
Rio da Prata,UBSF Rio Da Prata,2511274
Saguaçu,UBSF Bom Retiro,2511320
Santa Catarina,UBSF Km 4,2511371
Santa Catarina,UBSF Profipo,2511363
Santo Antônio,UBSF Bom Retiro,2511320
São Marcos,UBSF Gloria,2511711
Ulisses Guimarães,UBSF Ulysses Guimaraes,9075712
Vila Nova,UBSF Vila Nova I,9529888
Vila Nova,UBSF Vila Nova Rural,2568667
Jardim Iririú,UBSF Dom Gregorio,3101150
Morro do Meio,UBSF Lagoinha,8007535
Aventureiro,UBSF Dom Gregorio,3101150
