Bairro,Nome_Unidade,Cnes
America,Ubsf Gloria,2511711
Atiradores,Ubsf Gloria,2511711
Aventureiro,Ubsf Aventureiro I,2511487
Aventureiro,Ubsf Aventureiro I I I,9538461
Boehmerwaldt,Ubsf Boehmerwald,2511541
Bom Retiro,Ubsf Bom Retiro,2511320
Comasa,Ubsf Caic Vila Paranaense,2511851
Costa E Silva,Ubsf Parque Douat,7704550
Costa E Silva,Ubsf Willy Schossland,2511959
Floresta,Ubsf Nova Brasilia,2511304
Gloria,Ubsf Gloria,2511711
Gloria,Ubsf Willy Schossland,2511959
Guanabara,Ubsf Itaum,2511479
Iririu,Ubsf Aventureiro I,2511487
Itaum,Ubsf Itaum,2511479
Itinga,Ubsf Boehmerwald,2511541
Itinga,Ubsf Itinga,2511509
Itinga,Ubsf Parque Guarani,2511819
Itinga,Ubsf Profipo,2511363
Jardim Iririu,Ubsf Aventureiro I,2511487
Jardim Paraiso,Ubsf Jardim Paraiso I I I,2512009
Jardim Sofia,Ubsf Bom Retiro,2511320
Jardim Sofia,Ubsf Jardim Sofia,2511835
Joao Costa,Ubsf Boehmerwald,2511541
Joao Costa,Ubsf Parque Guarani,2511819
Morro Do Meio,Ubsf Morro Do Meio,2511495
Nova Brasilia,Ubsf Km 4,2511371
Nova Brasilia,Ubsf Nova Brasilia,2511304
Paranaguamirim,Ubsf Estevao De Matos,2511746
Paranaguamirim,Ubsf Jardim Edilene,3062724
Paranaguamirim,Ubsf Paranaguamirim,2511576
Parque Guarani,Ubsf Boehmerwald,2511541
Parque Guarani,Ubsf Paranaguamirim,2511576
Parque Guarani,Ubsf Parque Guarani,2511819
Petropolis,Ubsf Boehmerwald,2511541
Pirabeiraba Distrito Industrial,Ubsf Jardim Paraiso I I I,2512009
Pirabeiraba Distrito Industrial,Ubsf Jardim Sofia,2511835
Pirabeiraba Rio Bonito,Ubsf Rio Bonito,2511282
Pirabeiraba Zona Rural,Ubsf Rio Bonito,2511282
Pirabeiraba Zona Rural,Ubsf Rio Da Prata,2511274
Pirabeiraba Zona Rural 1,Ubsf Rio Da Prata,2511274
Pirabeiraba Zona Rural 2,Ubsf Rio Bonito,2511282
Profipo,Ubsf Itinga,2511509
Profipo,Ubsf Profipo,2511363
Santa Catarina,Ubsf Km 4,2511371
Santa Catarina,Ubsf Profipo,2511363
Santo Antonio,Ubsf Bom Retiro,2511320
Ulisses Guimaraes,Ubsf Ulysses Guimaraes,9075712
Vila Cubatao,Ubsf Cubatao,2436434
Vila Nova,Ubsf Vila Nova I,9529888
Z. Rural - Agreg. Araquari,Ubsf Estevao De Matos,2511746
Z. Rural - Agreg. Araquari,Ubsf Itinga,2511509
Z. Rural - Agreg. Araquari,Ubsf Paranaguamirim,2511576
Z. Rural - Agreg. Araquari,Ubsf Profipo,2511363
Zona Industrial,Ubsf Aventureiro I I I,9538461
Zona Industrial,Ubsf Bom Retiro,2511320
Zona Industrial,Ubsf Cubatao,2436434
Zona Industrial,Ubsf Jardim Sofia,2511835
Zona Rural,Ubsf Cubatao,2436434
Zona Rural,Ubsf Jardim Edilene,3062724
Zona Rural,Ubsf Morro Do Meio,2511495
Zona Rural,Ubsf Nova Brasilia,2511304
Zona Rural,Ubsf Paranaguamirim,2511576
Zona Rural,Ubsf Vila Nova Rural,2568667
Adhemar Garcia,Ubsf Ulysses Guimaraes,9075712
Anita Garibaldi,Ubsf Itaum,2511479
Anita Garibaldi,Ubsf Gloria,2511711
Boa Vista,Ubsf Caic Vila Paranaense,2511851
Bucarein,Ubsf Itaum,2511479
Bucarein,Ubsf Gloria,2511711
Centro,Ubsf Gloria,2511711
Espinheiros,Ubsf Caic Vila Paranaense,2511851
Fatima,Ubsf Ulysses Guimaraes,9075712
Fatima,Ubsf Paranaguamirim,2511576
Jarivatuba,Ubsf Ulysses Guimaraes,9075712
Jarivatuba,Ubsf Paranaguamirim,2511576
Pirabeiraba,Ubsf Rio Bonito,2511282
Pirabeiraba,Ubsf Rio Da Prata,2511274
Pirabeiraba Dona Francisca,Ubsf Rio Da Prata,2511274
Saguacu,Ubsf Bom Retiro,2511320
Sao Marcos,Ubsf Gloria,2511711
Zona Industrial - Bv,Ubsf Caic Vila Paranaense,2511851
