Nome_Unidade,Bairro,Cnes,Telefone,Endereco
UBSF Jativoca,Nova Brasilia,2511304,(47) 3454-1842,Rua Jativoca - ate 1749/1750  Nr 01 - Nova Brasilia
UBSF Saguacu,Saguacu,3781194,(47) 3473-6939,Rua Iririu - ate 522 - lado par  Nr 110 - Saguacu
UBSF Un Prisional De Joinville,Paranaguamirim,7911467,(47) 3031-2300,Rua Nao Especificada Ou de Outro Municipio  Nr 1 - Paranaguamirim
UBSF Adhemar Garcia,Adhemar Garcia,2511568,(47) 3429-5056,Rua Vicente Alves Pereira  Nr SN - Adhemar Garcia
UBSF Aventureiro I,Aventureiro,2511487,(47) 3467-6046,Rua Nao Especificada Ou de Outro Municipio  Nr 01 - Aventureiro
UBSF Aventureiro I I,Aventureiro,2511525,(47) 3467-3044,Rua Lauro Schroeder  Nr 01 - Aventureiro
UBSF Aventureiro I I I,Aventureiro,9538461,(47) 3435-8486,Rua Santa Luzia  Nr 1 - Aventureiro
UBSF Bakitas,Boa Vista,2511347,(47) 3432-2220,Rua Sao Miguel  Nr 513 - Boa Vista
UBSF Boehmerwald,Boehmerwaldt,2511541,(47) 3454-8066,Rua Universidade  Nr 377 - Boehmerwaldt
UBSF Bom Retiro,Bom Retiro,2511320,(47) 3425-2580,Rua Otavio Rosa Filho  Nr 01 - Bom Retiro
UBSF Bucarein,Bucarein,2511681,(47) 3489-7979,Rua Inacio Bastos - de 551 ao fim - lado impar  Nr 555 - Bucarein
UBSF Caic Vila Paranaense,Espinheiros,2511851,(47) 3416-3240,Rua Agostinho dos Santos - ate 1176/1177  Nr 01 - Espinheiros
UBSF Canela,Pirabeiraba Rio Bonito,3101711,(47) 3437-1141,Servidao Quatro de Abril  Nr SN - Pirabeiraba Rio Bonito
UBSF Comasa,Comasa,2511517,(47) 3145-2450,Rua Maracuja  Nr S/N - Comasa
UBSF Costa E Silva,Costa E Silva,2511592,(47) 3437-1760,Rua Comandante Telles de Mendonca  Nr 65 - Costa E Silva
UBSF Cubatao,Vila Cubatao,2436434,(47) 3467-3818,Rua Nossa Senhora de Fatima  Nr 01 - Vila Cubatao
UBSF Da Ilha,Espinheiros,3004007,(47) 3439-2471,Rua Antonio Augusto do Livramento  Nr 289 - Espinheiros
UBSF Dom Gregorio,Jardim Iririu,3101150,(47) 3435-5112,Rua Janauba - ate 377/378  Nr 509 - Jardim Iririu
UBSF Edla Jordan,Petropolis,2512017,(47) 3436-6705,Avenida Paulo Schroeder - de 2552/2553 ao fim  Nr 2605 - Petropolis
UBSF Estevao De Matos,Paranaguamirim,2511746,(47) 3463-9898,Rua Maria Marques Leandro  Nr 505 - Paranaguamirim
UBSF Estrada Anaburgo,Vila Nova,3001164,(47) 3455-2326,Rua Arnoldo Mathias Frederico Liermann  Nr 93 - Vila Nova
UBSF Fatima,Fatima,2511614,(47) 3145-2400,Rua Almirante Protogenes Pereira  Nr 410 - Fatima
UBSF Floresta,Floresta,2511878,(47) 3426-4941,Rua Republica do Peru  Nr 0 - Floresta
UBSF Gloria,Gloria,2511711,(47) 3416-3074,Rua Brigada Lopes  Nr 01 - Gloria
UBSF Itaum,Guanabara,2511479,(47) 3429-6251,Rua Guanabara - De 2002/2003 A 2600/2601  Nr 548 - Guanabara
UBSF Itinga,Itinga,2511509,(47) 3417-2783,Rua Santa Gertrudes  Nr 01 - Itinga
UBSF Itinga Continental,Itinga,3461203,(47) 3465-5200,Rua Nao Especificada Ou de Outro Municipio  Nr 100 - Itinga
UBSF Jardim Edilene,Paranaguamirim,3062724,(47) 3463-7266,Avenida Kurt Meinert - ate 997/998  Nr S/N - Paranaguamirim
UBSF Jardim Iririu,Jardim Iririu,2511460,(47) 3418-3163,Rua Canoas - ate 548/549  Nr 01 - Jardim Iririu
UBSF Jardim Paraiso I E I I,Jardim Paraiso,2511843,(47) 3427-3185,Avenida Jupiter - ate 2900/2901  Nr 01 - Jardim Paraiso
UBSF Jardim Paraiso I I I,Jardim Paraiso,2512009,(47) 3467-2348,Estrada Timbe - lado par  Nr 7130 - Jardim Paraiso
UBSF Jardim Paraiso I V,Jardim Paraiso,2622955,(47) 3418-8236,Estrada Timbe - lado par  Nr 01 - Jardim Paraiso
UBSF Jardim Paraiso V E V I,Jardim Paraiso,3400069,(47) 3467-0112,Avenida Jupiter - ate 2900/2901  Nr 1758 - Jardim Paraiso
UBSF Jardim Sofia,Jardim Sofia,2511835,(47) 3473-0870,Rua Professor Eunaldo Verdi  Nr 01 - Jardim Sofia
UBSF Jarivatuba,Jarivatuba,2622971,(47) 3461-4502,Rua Monsenhor Gercino - ate 213/214  Nr 01 - Jarivatuba
UBSF Km 4,Santa Catarina,2511371,(47) 3454-1073,Rua Joao Gomes de Oliveira  Nr 01 - Santa Catarina
UBSF Lagoinha,Morro Do Meio,8007535,(47) 3465-1912,Rua Tancredo Neves  Nr 46 - Morro Do Meio
UBSF Leonardo Schlickmann,Iririu,2511355,(47) 3437-7793,Rua Jorge Augusto Emilio Muller  Nr 118 - Iririu
UBSF Moinho Dos Ventos,Espinheiros,2511452,(47) 3434-6600,Rua Nao Especificada Ou de Outro Municipio  Nr 01 - Espinheiros
UBSF Morro Do Amaral,Paranaguamirim,2511770,(47) 3463-7266,Avenida Kurt Meinert - ate 997/998  Nr 01 - Paranaguamirim
UBSF Morro Do Meio,Morro Do Meio,2511495,(47) 3436-3500,Rua Itapeva  Nr 1 - Morro Do Meio
UBSF Nova Brasilia,Nova Brasilia,2511304,(47) 3454-9216,Rua Bom Retiro  Nr 01 - Nova Brasilia
UBSF Paranaguamirim,Paranaguamirim,2511576,(47) 3463-6589,Rua Elizabeth Rech  Nr S/N - Paranaguamirim
UBSF Parque Douat,Costa E Silva,7704550,(47) 3437-5513,Rua Inambu - ate 348/349  Nr 1 - Costa E Silva
UBSF Parque Guarani,Itinga,2511819,(47) 3438-2794,Rua Diovana Maria Rodrigues  Nr S/N - Itinga
UBSF Parque Joinville,Aventureiro,2511606,(47) 3472-1795,Rua Willy Schossland - ate 758/759  Nr 01 - Aventureiro
UBSF Pirabeiraba,Pirabeiraba,2511290,(47) 3424-0195,Rua Doutor Carlos Heins Funke  Nr S/N - Pirabeiraba
UBSF Profipo,Profipo,2511363,(47) 3429-7306,Rua Cidade de Patos de Minas  Nr 01 - Profipo
UBSF Rio Bonito,Pirabeiraba,2511282,(47) 3464-1487,Rua Nao Especificada Ou de Outro Municipio  Nr 01 - Pirabeiraba
UBSF Rio Da Prata,Pirabeiraba,2511274,(47) 3428-0108,Estrada Rio da Prata  Nr 01 - Pirabeiraba
UBSF Rio Do Ferro,Aventureiro,3085864,(47) 3467-2061,Rua Nao Especificada Ou de Outro Municipio  Nr 1031 - Aventureiro
UBSF Roraima,Comasa,3111172,(47) 3434-6770,Rua Roraima  Nr 758 - Comasa
UBSF Santa Barbara,Aventureiro,2622963,(47) 3418-8263,Rua Maria Regina Klock Russi  Nr 963 - Aventureiro
UBSF Sao Marcos,Sao Marcos,2511312,(47) 3438-0652,Rua Guapore  Nr SN - Sao Marcos
UBSF Ulysses Guimaraes,Ulisses Guimaraes,9075712,(47) 3438-2626,Rua Cidade de Barretos  Nr 1 - Ulisses Guimaraes
UBSF Vila Nova,Vila Nova,2511703,(47) 3439-6357,Rua Quinze de Novembro - de 7278 a 8580 - lado par  Nr 8470 - Vila Nova
UBSF Vila Nova I,Vila Nova,9529888,(47) 3435-3956,Rua Arthur Hille  Nr 241 - Vila Nova
UBSF Vila Nova Rural,Vila Nova,2568667,(47) 3130-1900,Rua Nao Especificada Ou de Outro Municipio  Nr 01 - Vila Nova
UBSF Willy Schossland,Costa E Silva,2511959,(47) 3418-0407,Rua Nao Especificada Ou de Outro Municipio  Nr 01 - Costa E Silva
